timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"abf5ca8edc11b08321246323d30ba758a7ee577f483d74fc7fbc6828dadd632d Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,6,left,left,erotic,true,t,1,0
"71ccfdf311aa308895324dbbf3087ad167112068449f4970dd07912dbd41291a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,7,right,left,neutral,false,t,1,0
"4a15585feaaab6e16f0ea85b2360cf185e67f5942fd0138ee14361404489c7cc Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,8,right,left,neutral,false,t,1,0
"ea36d1c374be969ba254bb6de0b450f62e535f9a86136f6d85256cd46e7af3a8 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,9,right,right,neutral,true,t,1,0
"8e3f560bf6dabad1b6cd79bcebb3c9697b9f819a397db3397deccc7e1c2526cc Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,10,right,left,neutral,false,t,1,0
"ff315bae7105a8b2dcbebc2ee1349739118a551da0fd7e035dbfb354ff74de8e Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,11,right,left,neutral,false,t,1,0
"344db50e140d0567c450323f58cde52b1ab2cd00a2fff5ced0f86affcbf96276 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,12,right,right,neutral,true,t,1,0
"9350e5f5ac1d1282782e2fb64ddea33732fd066482be7567649cccdd8ee87ee1 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,13,right,left,neutral,false,t,1,0
"05bb542d5b9af8e2d709590ae9b74f2f2dfc0ba06ce56566f1f45fcde1589b25 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,14,right,left,erotic,false,t,1,0
"c906631e4bae6de5a2bb030d13c65d3bde7ab7915d25ad49b7c6118adcd1b353 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",5c4091ba-d42d-489c-87e3-92578b8f6bc2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,18-29,Male,yes,Don’t know,Probably yes,Only a few times,between true and untrue,true,15,left,right,neutral,false,t,1,0
