timestamp,participant_ID,experimenter_ID_code,experimenter_ASGS_total_score,laboratory_ID_code,sitePI_ASGS_total_score,session_type,consent_screen_answer,refused_to_answer_sexual_orientation_question,age,sex,final_consent,ESP_Q_item_1,ESP_Q_item_2,ESP_Q_item_3,SS_Q_item_1,SS_Q_item_2,trial_number,guessed_side,target_side,reward_type,sides_match,trial_type,available_trial_type,in_lab
"235dd0dd6ea090d23b703180ab9732b5f98d9e1d00df073670b1351c062aa78a Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,13,left,right,erotic,false,t,1,0
"8e64169d8a756cc6003b6478c73d325bc378fae63a497accd2f3564a0160ec68 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,14,right,left,erotic,false,t,1,0
"b3345bc53464af9bc6080df9b6f2a2876c3bc05679e3d99fe9527a25732098f0 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,15,right,right,erotic,true,t,1,0
"463432fd6e0e0af2bb837ce1a22d98c61444c0d5c3a72217e0886d7a3576c872 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,16,right,right,neutral,true,t,1,0
"78f92352357fac218c82a2978cc016f030dc44155e1d8cf5205ca7b319ae4797 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,17,right,right,neutral,true,t,1,0
"8880f447c045d83fdc34ba928069d1a83c5ab20d3c3ad89539b23b982236e706 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,18,right,left,erotic,false,t,1,0
"2d053fd69df6daec26035c574ec81d96e256a3cc058bfef95ac8342eab446394 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,19,right,left,erotic,false,t,1,0
"e722b0430378a6d9e746efe2e544809184ebf690b9d2d7cfd6541cebcdf7ff57 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,20,right,left,erotic,false,t,1,0
"3815d48e1f743b20fee236714136922033ecdd66de6ab91caf11859d9a35ad8c Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,21,left,left,neutral,true,t,1,0
"ff0060a0c02cd45faf7555f1cad856f4197113096c0522fbe58394da78e29806 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,22,left,right,neutral,false,t,1,0
"4af843daf33172f7db8e79ceef107e3ffe367d81d89498c4f944b5fd8dc6ed09 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,23,left,right,neutral,false,t,1,0
"cd34a9b193a656e7c1725f176cc08cbde8b8c4b557f1c3510d958c33f03ee692 Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",fa1f3866-a002-4744-a1e0-e9ac960015b2,b4ddf1fa1aa4b5153dedae5fc44b21ad6a854dccacd4436742dda1013138dc13,1,f3406f8fb79141d578bfdbaa385bdba78aed8bc61c54685a2276e7f172ee58db,1,online,yes,no,30-44,Male,yes,Probably does,Don't know,"No, never",very true,very true,24,left,right,erotic,false,t,1,0
